Customer_ID,Day,Counter_ID,Arrival_Time,Service_Start_Time,Service_End_Time,Number_of_Items,Service_Time_Seconds,Service_Time_Minutes,Wait_Time_Seconds,Wait_Time_Minutes,Queue_Length_At_Arrival
1,01/07/2025,1,01/07/2025 17:01,01/07/2025 17:01,01/07/2025 17:03,19,129.35,2.156,0,0,0
2,01/07/2025,2,01/07/2025 17:02,01/07/2025 17:02,01/07/2025 17:04,14,140.47,2.341,0,0,0
3,01/07/2025,3,01/07/2025 17:02,01/07/2025 17:02,01/07/2025 17:04,15,117.45,1.957,0,0,0
4,01/07/2025,1,01/07/2025 17:05,01/07/2025 17:05,01/07/2025 17:09,26,237.42,3.957,0,0,0
5,01/07/2025,2,01/07/2025 17:05,01/07/2025 17:05,01/07/2025 17:07,10,131.77,2.196,0,0,0
6,01/07/2025,3,01/07/2025 17:05,01/07/2025 17:05,01/07/2025 17:06,3,86.19,1.437,0,0,0
7,01/07/2025,3,01/07/2025 17:06,01/07/2025 17:06,01/07/2025 17:09,10,166.6,2.777,33.12,0.552,0
8,01/07/2025,2,01/07/2025 17:07,01/07/2025 17:07,01/07/2025 17:10,13,153.82,2.564,20.21,0.337,0
9,01/07/2025,1,01/07/2025 17:07,01/07/2025 17:09,01/07/2025 17:11,24,169.17,2.819,74.73,1.246,0
10,01/07/2025,3,01/07/2025 17:07,01/07/2025 17:09,01/07/2025 17:11,11,125.19,2.086,107.33,1.789,1
11,01/07/2025,2,01/07/2025 17:07,01/07/2025 17:10,01/07/2025 17:13,13,181.46,3.024,136.69,2.278,2
12,01/07/2025,3,01/07/2025 17:09,01/07/2025 17:11,01/07/2025 17:13,20,114.61,1.91,143.95,2.399,2
13,01/07/2025,1,01/07/2025 17:11,01/07/2025 17:11,01/07/2025 17:14,17,155.87,2.598,24.27,0.404,1
14,01/07/2025,2,01/07/2025 17:12,01/07/2025 17:13,01/07/2025 17:14,7,90.77,1.513,41.76,0.696,0
15,01/07/2025,3,01/07/2025 17:12,01/07/2025 17:13,01/07/2025 17:15,2,84.87,1.414,55.02,0.917,1
16,01/07/2025,1,01/07/2025 17:13,01/07/2025 17:14,01/07/2025 17:17,18,155.26,2.588,68.68,1.145,1
17,01/07/2025,2,01/07/2025 17:14,01/07/2025 17:14,01/07/2025 17:18,13,220.65,3.678,17.57,0.293,1
18,01/07/2025,3,01/07/2025 17:14,01/07/2025 17:15,01/07/2025 17:18,22,181.22,3.02,9.95,0.166,0
