Customer_ID,Day,Arrival_Time,Number_of_Items,Service_Time_Seconds
1,2025-12-01,2025-12-01 17:01:16,16,74.95
2,2025-12-01,2025-12-01 17:03:33,6,55.54
3,2025-12-01,2025-12-01 17:04:11,4,33.08
4,2025-12-01,2025-12-01 17:10:01,11,59.49
5,2025-12-01,2025-12-01 17:12:01,4,41.88
6,2025-12-01,2025-12-01 17:13:54,16,73.38
7,2025-12-01,2025-12-01 17:14:31,12,64.67
8,2025-12-01,2025-12-01 17:14:46,20,97.47
9,2025-12-01,2025-12-01 17:14:53,25,100.51
10,2025-12-01,2025-12-01 17:15:34,18,101.11
11,2025-12-01,2025-12-01 17:17:51,8,38.92
12,2025-12-01,2025-12-01 17:21:52,13,61.0
13,2025-12-01,2025-12-01 17:22:05,23,108.29
14,2025-12-01,2025-12-01 17:22:47,16,98.41
15,2025-12-01,2025-12-01 17:23:31,12,63.1
16,2025-12-01,2025-12-01 17:27:47,25,110.39
17,2025-12-01,2025-12-01 17:29:36,25,109.05
18,2025-12-01,2025-12-01 17:29:47,1,27.82
19,2025-12-01,2025-12-01 17:33:09,23,93.11
20,2025-12-01,2025-12-01 17:33:22,1,38.54
21,2025-12-01,2025-12-01 17:35:16,21,80.11
22,2025-12-01,2025-12-01 17:37:28,10,77.64
23,2025-12-01,2025-12-01 17:41:16,7,53.27
24,2025-12-01,2025-12-01 17:41:27,26,84.77
25,2025-12-01,2025-12-01 17:42:28,21,73.31
26,2025-12-01,2025-12-01 17:45:15,16,82.37
27,2025-12-01,2025-12-01 17:46:54,15,67.35
28,2025-12-01,2025-12-01 17:47:59,15,84.44
29,2025-12-01,2025-12-01 17:52:45,8,57.74
30,2025-12-01,2025-12-01 17:53:04,9,57.11
31,2025-12-01,2025-12-01 17:55:12,23,95.09
32,2025-12-01,2025-12-01 17:55:19,6,48.04
33,2025-12-01,2025-12-01 17:55:49,31,119.55
34,2025-12-01,2025-12-01 17:57:40,17,87.66
35,2025-12-02,2025-12-02 17:00:06,12,53.25
36,2025-12-02,2025-12-02 17:01:55,16,78.91
37,2025-12-02,2025-12-02 17:02:12,16,69.21
38,2025-12-02,2025-12-02 17:05:24,23,97.77
39,2025-12-02,2025-12-02 17:05:25,1,20.0
40,2025-12-02,2025-12-02 17:08:10,17,87.3
41,2025-12-02,2025-12-02 17:12:46,13,52.95
42,2025-12-02,2025-12-02 17:14:02,22,72.69
43,2025-12-02,2025-12-02 17:15:07,16,83.9
44,2025-12-02,2025-12-02 17:15:36,26,103.11
45,2025-12-02,2025-12-02 17:15:58,16,74.09
46,2025-12-02,2025-12-02 17:17:11,15,67.56
47,2025-12-02,2025-12-02 17:17:45,20,74.25
48,2025-12-02,2025-12-02 17:17:56,27,130.8
49,2025-12-02,2025-12-02 17:18:26,26,103.02
50,2025-12-02,2025-12-02 17:19:31,14,94.84
51,2025-12-02,2025-12-02 17:19:56,6,51.54
52,2025-12-02,2025-12-02 17:20:08,12,55.7
53,2025-12-02,2025-12-02 17:22:29,27,127.79
54,2025-12-02,2025-12-02 17:22:37,12,78.26
55,2025-12-02,2025-12-02 17:24:50,17,86.97
56,2025-12-02,2025-12-02 17:25:04,18,73.18
57,2025-12-02,2025-12-02 17:25:25,1,20.0
58,2025-12-02,2025-12-02 17:26:02,19,89.24
59,2025-12-02,2025-12-02 17:27:18,17,82.05
60,2025-12-02,2025-12-02 17:28:26,3,36.93
